Surf Spot,SurfID,Regional ID,Tide Info,WaterTempID
Black Point Beach,5098,2948,9416409,9416841
Russian Rivermouth,5097,2948,9416409,9416841
Salmon Creek,5096,2948,9416409,9416841
Doran Beach,5095,2948,9416409,9416841
,,,,
Marin County,,,,
Dillon Beach,64347,2949,9415020,
Point Reyes,5093,2949,9415020,
Bolinas Jetty,5091,2949,9415020,
Stinson Beach,5090,2949,9415020,
Fort Cronkite,5089,2949,9415020,
,,,,
San Mateo County,,,,
Fort Point,5015,2957,9414290,
Ocean Beach Overview,4127,2957,9414290,
Central Ocean Beach North,145752,2957,9414290,
Central Ocean Beach South,145753,2957,9414290,
South Ocean Beach,4128,2957,9414290,
sharp Park,5017,2957,9414290,
Rockaway,5014,2957,9414290,
Pacifica,5013,2957,9414290,
Montara,5011,2957,9414290,
Maverick's,4152,2957,9414290,
Princeton Jetty,5008,2957,9414290,
Half Moon Bay,5007,2957,9414290,
Tunitas Creek,5005,2957,9414290,
Pescadero,5018,2957,9414290,
Pigeon Point,5019,2957,9414290,
,,,,
Maui North,,,,
Honolua Bay,10814,8900,1615680,1615680
Honokohau Bay,10815,8900,1615680,1615680
Kahalui Harbor,10816,8900,1615680,1615680
Kanaha,10813,8900,1615680,1615680
Ho okipa,10817,8900,1615680,1615680
Jaws,10818,8900,1615680,1615680
Taveres Bay,108155,8900,1615395,1615680
Honomanu Bay,10819,8900,1615395,1615680
Hana Bay,10820,8900,1615395,1615680
,,,,
Maui West,,,,
Rainbows,10812,3238,TPT2797,1615680
Lahaina Harbor,5528,3238,TPT2799,1615680
Olowalu,10809,3238,TPT2799,1615680
Ma alaea Harbor,7443,3238,TPT2797,1615680
,,,,
Maui South,,,,
The Cove,10810,3239,1615202,1615680
Big Beach,5520,3239,1615202,1615680
Dumps,5521,3239,1615202,1615680
La Perouse Bay,10811,3239,1615202,1615680
